Zip Code,Latitude,Longitude,Average Cost 
95002,37.441,-121.991," 562,500 "
95008,37.279,-121.957," 1,154,400 "
95032,37.2187,-121.929," 1,638,400 "
95037,37.1681,-121.627," 908,700 "
95110,37.3422,-121.907," 697,000 "
95111,37.282,-121.832," 602,900 "
95112,37.3415,-121.882," 772,100 "
95113,37.3341,-121.892," 921,000 "
95116,37.3499,-121.851," 619,100 "
95117,37.3127,-121.966," 1,090,900 "
95118,37.2555,-121.889," 1,039,500 "
95119,37.2298,-121.786," 908,600 "
95120,37.1927,-121.834," 1,450,700 "
95121,37.3032,-121.808," 793,000 "
96122,39.8914,-120.374," 634,500 "
95123,37.2407,-121.827," 851,400 "
95124,37.2554,-121.925," 1,179,800 "
95125,37.2972,-121.895," 1,173,000 "
95126,37.3241,-121.915," 947,100 "
95127,37.3738,-121.793," 751,100 "
95128,37.3163,-121.936," 973,600 "
95129,37.3075,-122.002," 1,551,500 "
95130,37.2852,-121.978," 1,314,900 "
95131,37.3874,-121.902," 892,800 "
95132,37.409,-121.828," 1,000,000 "
95133,37.3716,-121.861," 791,300 "
95134,37.4248,-121.946," 370,400 "
95135,37.2758,-121.715," 1,091,200 "
95136,37.2725,-121.843," 839,600 "
95138,37.2482,-121.736," 1,071,600 "
95139,37.2247,-121.763," 861,500 "
95148,37.3328,-121.771," 924,400 "
